transaction_id,date,time_of_day,student_id,student_diet_pref,item_name,item_category,item_type,price,quantity,rating,review_text,calories,day_of_week,sentiment
txn_041,2025-10-11,Breakfast,user_101,Non-Veg,Plain Dosa,Veg,Breakfast,50,1,3,"Cold dosa, sambhar lacked punch.",210,Saturday,Neutral
txn_042,2025-10-11,Lunch,user_102,Veg,Paneer Dosa,Veg,Breakfast,85,1,3,"Mediocre paneer filling, nothing special.",340,Saturday,Neutral
txn_043,2025-10-11,Snack,user_103,Flexible,Spring Rolls,Veg,Snack,41,2,4,"Freshly fried and crisp, good snack.",160,Saturday,Neutral
txn_044,2025-10-11,Dinner,user_104,Non-Veg,Butter Chicken,Non-Veg,Main Course,148,1,5,"Best dish, rich and full-bodied.",620,Saturday,Neutral
txn_045,2025-10-17,Friday Lunch,user_101,Non-Veg,Veg Thali,Veg,Main Course,89,1,1,Friday veg again. Tasteless and watery.,590,Friday,Neutral
txn_046,2025-10-17,Friday Lunch,user_104,Non-Veg,Boiled Egg,Egg,Snack,11,3,3,"Plain eggs, fine as a quick bite.",155,Friday,Neutral
txn_047,2025-10-17,Friday Snack,user_106,Non-Veg,Samosa,Veg,Snack,14,4,5,"Crisp and fresh, perfect for chai break.",265,Friday,Neutral
txn_048,2025-10-17,Friday Dinner,user_107,Flexible,Paneer Dosa,Veg,Breakfast,78,1,2,"Felt reheated, not fresh.",345,Friday,Neutral
txn_049,2025-10-18,Breakfast,user_108,Non-Veg,Aloo Paratha,Veg,Breakfast,58,2,4,"Warm, thick and flavorful.",310,Saturday,Neutral
txn_050,2025-10-18,Lunch,user_109,Veg,Masala Dosa,Veg,Breakfast,73,1,5,"Crisp dosa, good chutneys.",295,Saturday,Neutral
txn_051,2025-10-18,Snack,user_110,Non-Veg,Brownie,Veg,Dessert,64,2,5,"Soft center, just delicious.",295,Saturday,Neutral
txn_052,2025-10-18,Dinner,user_101,Non-Veg,Butter Chicken,Non-Veg,Main Course,146,1,5,Weekend meal done right.,640,Saturday,Neutral
txn_053,2025-10-19,Breakfast,user_102,Veg,Plain Dosa,Veg,Breakfast,53,1,4,"Simple dosa, crispy edges.",215,Sunday,Neutral
txn_054,2025-10-19,Lunch,user_103,Flexible,Butter Chicken,Non-Veg,Main Course,138,1,5,"Outstanding gravy, soft chicken.",615,Sunday,Neutral
txn_055,2025-10-19,Snack,user_104,Non-Veg,Spring Rolls,Veg,Snack,43,3,3,"Crunchy outside, average filling.",165,Sunday,Neutral
txn_056,2025-10-19,Dinner,user_105,Veg,Veg Pasta,Veg,Main Course,96,1,4,"Good flavor, mild spice.",460,Sunday,Neutral
txn_057,2025-10-20,Breakfast,user_106,Non-Veg,Aloo Paratha,Veg,Breakfast,51,1,3,"Got cold quickly, average taste.",290,Monday,Neutral
txn_058,2025-10-20,Lunch,user_107,Flexible,Paneer Butter Masala,Veg,Main Course,126,1,5,Excellent texture and flavor.,555,Monday,Neutral
txn_059,2025-10-20,Snack,user_108,Non-Veg,Samosa,Veg,Snack,15,5,4,"Hot, crunchy, a bit oily but good.",260,Monday,Neutral
txn_060,2025-10-20,Dinner,user_109,Veg,Veg Thali,Veg,Main Course,94,1,1,"Oily, bland and overpriced.",585,Monday,Neutral
txn_061,2025-10-21,Breakfast,user_110,Non-Veg,Plain Dosa,Veg,Breakfast,47,1,4,"Light and crispy, nice chutney.",205,Tuesday,Neutral
txn_062,2025-10-21,Lunch,user_101,Non-Veg,Butter Chicken,Non-Veg,Main Course,144,1,5,"Delicious as usual, best in canteen.",625,Tuesday,Neutral
txn_063,2025-10-21,Snack,user_102,Veg,Brownie,Veg,Dessert,61,2,5,"Sweet, soft and indulgent.",315,Tuesday,Neutral
txn_064,2025-10-21,Dinner,user_103,Flexible,Maggi,Veg,Snack,39,4,2,"Overcooked, tasted bland.",190,Tuesday,Neutral
txn_065,2025-10-22,Lunch,user_104,Non-Veg,Paneer Butter Masala,Veg,Main Course,130,2,4,"Rich, thick and satisfying meal.",560,Wednesday,Neutral
txn_066,2025-10-22,Snack,user_105,Veg,Samosa,Veg,Snack,16,4,4,"Crisp and spicy, worth it.",245,Wednesday,Neutral
txn_067,2025-10-22,Dinner,user_106,Non-Veg,Boiled Egg,Egg,Snack,10,3,3,"Simple dinner, just fine.",245,Wednesday,Neutral
txn_068,2025-10-23,Lunch,user_107,Flexible,Butter Chicken,Non-Veg,Main Course,139,1,5,"Juicy, flavorful chicken curry.",610,Thursday,Neutral
txn_069,2025-10-23,Snack,user_108,Non-Veg,Maggi,Veg,Snack,41,3,1,"Undercooked noodles, poor taste.",200,Thursday,Neutral
txn_070,2025-10-23,Dinner,user_109,Veg,Paneer Dosa,Veg,Breakfast,81,1,4,"Good paneer filling, crisp dosa.",345,Thursday,Neutral
